STT,Type,Name,Address,Price,Rating,Review,Images
63,Bún,Bún cá chấm giòn tan,"90 Nguyễn Văn Tuyết, Đống Đa",,,,
64,Coffee,𝐙𝐄𝐑𝐎 𝐏𝐎𝐈𝐍𝐓(Đóng cửa),"- 33 Ngõ 165 Cầu Giấy, Hà Nội",,0,,
65,Gà,Yolo quán,Yolo Quán 361 Vũ Tông Phan,,,,
66,Bún,bún chả,"42 Bùi Ngọc Dương, Q. Hai Bà Trưng, Hà Nội",,,,
67,Bún,bún chả," Ngõ 74 Hàng Quạt, Hoàn Kiếm",,,,
68,Bún,Bún riêu tóp mỡ mọc giòn cô Hương Béo,ki ốt 41 đường Cốm Vòng - Dịch Vọng Hậu - Cầu Giấy,,,,
69,Bún,bún riêu, 149 Phố Triệu Việt Vương,,,,
70,Coffee,caffe 30-," Số 30, Ngõ 179 Quan Nhân",,,,
71,Nem,Annamoi,21-23 Hàng Bún,💸40-50k,,,
72,Coffee,TeTe Café,"Số 4/1 ngõ 3 Vạn Phúc, Ba Đình, HN ( Ngay đầu ngõ, rất dễ tìm )",⌚️ 7h30 – 17h30(💵 45-60k),,,
73,Gà,Gà Rán Bốp Bi,"234 Thuỵ Khê, Tây Hồ",(76 -200k),,,
74,Coffee,Geisha Cat Cafe,23 Nguyễn Hoàng Tôn Hà Nội,,,,
75,Coffee,Paradise Rooftop Bar,"Tầng 9 toà nhà số 93 Thuỵ Khuê, Tây Hồ",(60K)16:30-23:30,,,
76,Coffee,Lofi House,259 Trích Sài Tây Hồ,,,,
77,Coffee,Bread Factory - Xưởng bánh mì tươi,"104 TT3, P. Hoàng Trọng Mậu, Mỹ Đình, Từ Liêm",,,,
78,Coffee,Aventus Coffee,"7 P. Huỳnh Thúc Kháng, Láng Thượng",,,,
79,Coffee,Góc Bình Yên Cafe,"9-D6B Khu biệt thự vườn đào Tây Hồ, Hà Nội",,,,
80,Coffee,One Day at a time,"Số 36A, ngõ 67/phố Đ. Tô Ngọc Vân, Tây Hồ, Hà Nội, Việt Nam",,,,
81,Coffee,Tree Bee Coffee,"Đối diện toà nhà Vinaphone chân, 40 Cầu vượt Nguyễn Văn Huyên, Xuân La",50-60K,,,
82,Bún,Bún ốc,bún ốc 52 nguyễn siêu,,,,
83,Coffee,Cà Phê Thư Báo,"27 Ngõ 198 Thái Thịnh, Láng Hạ, Đống Đa, Hà Nội, Việt Nam",,,,
84,Nướng,chân gà nướng việt hà,18 lý văn phúc,,,,
85,Coffee,Đốm Cafe&Kitchen,"109D7, Ngõ 61 P. Thái Thịnh, Thịnh Quang, Đống Đa",,,,
86,Gà,Nhà Hàng Gà Nollowa,"Số 3 lô 12A đường, P. Thâm Tâm, Trung Hoà, Cầu Giấy, Hà Nội, Việt Nam",,,,
87,Bún,Bún riêu cua thóc,ngõ 3 nguyễn văn huyên cầu giấy,,,,
88,Gà,King Dakgalbi,"Số 22 Nguyễn Chí Thanh, Ba Đình",,,,
89,Bún,Bún cá bà tâm,"80 láng hạ, đống đa.",,,,
90,Gà,Kyodong chicken,"Ngõ 179 Đ. Đình Thôn, Mỹ Đình",,,,
91,Bún,Bún Cá Chấm - Bún Đậu Bà Tâm,"80 P. Láng Hạ, Láng Hạ, Đống Đa",,,,
92,Chè,chè cô huê,chợ thành công B,,,,
93,Bánh,Trứng chén nướng,7A đào duy từ -hàng buồm,,,,
94,Nem,Bánh xèo Tôm nhảy Quy Nhơn,"55 Hai Bà Trưng,Hoàn Kiếm",,,,
95,Bún,Bún riêu,110E3 Lê Thanh Nghị ( đối diện 40 Lê Thanh Nghị),,,,
96,Bún,Bún Riêu Hương Vị Xưa Huy Béo,"92 Tân Triều, Triều Khúc",,,,
97,Coffee,Xu Cafe 1978,"Ngõ 165 Phố Thái Hà, Láng Hạ, Đống Đa, Hà Nội",,,,
98,Coffee,Little Pie,"267 P. Bồ Đề, Bồ Đề, Long Biên",,,,
99,Coffee,Góc vuông,"ngõ 6 P. Tôn Thất Tùng, Kim Liên, Đống Đa,",,,,
100,Coffee,Dark Light Coffee,"31 Phố Trương Hán Siêu, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,,,
101,Coffee,Hầm Trú Ẩn Cafe,"78 Ngõ Trung Tiền, Khâm Thiên, Đống Đa, Hà Nội",,,,
102,Coffee,Telescope,"17A, 67 Tô Ngọc Vân (99k-129k/ đồ uống)",,,,
103,Bún,Bún,Số 1 Trưng Nhị - hà đông,,,,
104,Coffee,CAFE CAMY - GOOD OLD DAYS,"126 Trần Nhật Duật , Hoàn Kiếm - Hà Nội",8:00-22:30(Pass wifi : 126trannhatduat),,,
105,Bún,Bánh đa cua tóp mỡ,460 Trần Khát Chân,Giờ bán 10h sáng- 3h chiều,,,
106,Lẩu,Lẩu Gà Lá É É É Thắng Béo,"6 Ng. 84 P.Trần Thái Tông, Dịch Vọng Hậu, Cầu Giấy",,,,
107,Coffee,𝑴𝒊 𝑨𝒎𝒊 𝒄𝒂𝒇𝒇𝒆 - 𝑨 𝒕𝙖𝒔𝙩𝒆 𝒐𝙛 𝙃𝒂𝙣𝒐𝙞,BT4.17 Ngoại Giao Đoàn - Xuân Tảo - Bắc Từ Liêm - Hà Nội,,,,
108,Coffee,OURLOG,"ngõ 4D Đặng Văn Ngữ, Đống Đa, Hà Nội",09:00 - 21:00 (35k -59k),,,
109,Lẩu,lẩu ốc,36 Sơn Tây,,,,
110,Bún,Quán mẹ Lê - Bún riêu Bề Bề,Số 2 - Ngõ 162/17 Nguyễn Tuân - Thanh Xuân,,,,
111,Bún,Ngan Mười Tám,"Số 1C Ngõ 87 Láng Hạ, Đống Đa","rưa 10h-14h tối 18h-4h sáng, sức chứa khoảng 30-50ng , tối ngồi thoải mái hơn",,,
112,Bún,Bún Riêu Tuấn Anh,"35-37 Hồng Mai, Hai Bà Trưng",,,,
113,Bún,Bún riêu tóp mỡ mọc giòn cô hương béo,"41 đường cốm vòng, dịch vọng hậu.",,,,
114,Bún,Quán Lê Gia,"Số 16 Ngõ 298 Tây Sơn, Đống Đa (phố Nguyễn Văn Tuyết mới) ",(8h-14h&17h-23h),,,
115,Bún,Bún bò huế - O Hiền,"Số 106 C6 Tô Hiệu, Cầu Giấy",,,,
116,Lẩu,Lẩu Nướng Tít Mít - Lẩu nướng chảo gang,176 Hoàng Quốc Việt,129k,,,
117,Bún,Nhà hàng Kiên Gà,"47 Cửa Bắc, Trúc Bạch, Ba Đình",,,,
118,Ốc,Bếp mẹ Đăng Chân Gà,"38 P. Nhân Hòa, Nhân Chính, Thanh Xuân, Hà Nội",,,,
119,Nướng,Bếp Mẹ Gạo,"38B P. Trần Hữu Tước, Nam Đồng, Đống Đa, Hà Nội, Việt Nam",,,,
120,Nướng,Chân Gà Tú Béo,"116 Hàng Bạc, Hoàn Kiếm (gần Tạ Hiện)",,,,
121,Bún,Bún cá cay,"128 Đ. Nguyễn Chí Thanh, Láng Hạ, Đống Đa, Hà Nội",,,,
122,Bánh,Kem trứng Bà Khanh,"Số 55B Hai Bà Trưng,",,,,
123,Cơm,Umai29,,,,,
124,Bún,Bún Ốc,Ngõ1A Tôn Thất Tùng,,,,
125,Vịt,Kaoya Hotpot ,C11 Lương định của,bánh cuốn vịt ngon,,,
126,Bánh,Bánh Rán Cổ Truyền HK ,102E2 Thái Thịnh ,6k/cái,,,
127,Bánh,Cửa Hàng Bánh Ngọt Hồng Kông,"2 P. Hàng Lược, Hàng Mã, Hoàn Kiếm, Hà Nội, Việt Nam",,,,
128,Bún,Bún Ốc Sườn Kết,"104B Đông Tác, Đống Đa",,,,
129,Chay,Tara chay,"41 Ng. 554 Đ. Trường Chinh, Ngã Tư Sở",,,,
130,Lẩu,LẨU GÀ LÁ É -TIỆM CƠM BẦM THU,"66 Nguyên Hồng, Đống Đa",,,,
131,Bánh,Cửa Hàng Bánh Gia Trịnh ,Khu Tập Thể 16A Lý Nam Đế,,,,
132,Gà,Quán Anh Cường,67 Thụy khê,140-200,,,
133,Nướng,Lẩu Nướng Tươi Bbq,"169 P. Hoàng Cầu, Trung Liệt, Đống Đa, Hà Nội, Việt Nam",https://maps.app.goo.gl/TawmL3k5LjdMpGWX6,,,
134,Nướng,Mr Mlem 2 - Buffet Nướng Lẩu,"65 P. Ô Chợ Dừa, Chợ Dừa, Đống Đa, Hà Nội 100000, Việt Nam",https://maps.app.goo.gl/F7GpyiDhN5DntXwr5,,,
135,Nướng,Trạm Nướng - Trần Thái Tông,"62 P.Trần Thái Tông, Dịch Vọng Hậu, Cầu Giấy, Hà Nội 100000, Việt Nam",https://maps.app.goo.gl/ACsoPFYio5aJm2FX8,,,
136,Nướng,Nhất Nướng,"28 P. Trần Vỹ, Mai Dịch, Cầu Giấy, Hà Nội 10000, Việt Nam",https://maps.app.goo.gl/AarqieeuwSaBu2vZA,,,
137,Bún,Bún cá chấm Hạnh béo,"Ng. 76 P. Duy Tân/2 Ngách 8 P. Dịch Vọng Hậu, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Việt Nam",https://maps.app.goo.gl/NCz4cCNeZxsPiSr99,,,
138,Gà,Gà rán Handak Chicken,"50 Đ. Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội 100000, Vietnam",https://maps.app.goo.gl/kREEZZZQt9TfvSvz6,,,
139,Nướng,Bò Phiêu Nướng than hoa,Dương Nội(Gần Aeon Mall),,,,
140,Nướng,Nướng lão chư,Dương Nội(Gần Aeon Mall),,,,
141,Bánh,Bánh Canh Tôm Sì Gòn," 126 đường 19/5 Văn Quán , Hà Đông",,,,
142,Bún,Ốc Thuý Hằng,"50 Nguyễn Văn Lộc, Hà Đông",40k-60k,,,
143,Bún,Bún mắm chú 8,"24 Nguyễn Thượng Hiền, Hai Bà Trưng",,,,
144,Cuốn,Nét Cuốn ,"192 Mai Anh Tuấn , Đống Đa",,,,
145,Bún,Bún cá cay Hải phòng,332 NGUYỄN TRÃI,40-60k,,,
146,Bún,Bún cá,Đầu ngõ 232 Quan nhân,40-50k,,,
147,Nướng,Nướng Chất ,"173 Lê Lai , Hà Đông",,,,
